Price,Catergory,Model,Brand,Name,1,2,3,4
3950000,Nguồn Corsair,,Corsair,RMx Series RM850x Gold Certified,850,,,
589000,Nguồn Acbel,,Acbel,Acbel CE2 350,350,,,
679000,Nguồn Acbel,,Acbel,Acbel CE2 400,400,,,
850000,Nguồn Acbel,,Acbel,Acbel CE2 450,450,,,
0,Nguồn Acbel,,Acbel,Acbel CE2-550W-HB1002,550,,,
550000,Nguồn Acbel,,Acbel,Acbel E2-310 Plus-310W  ,310,,,
819000,Nguồn Acbel,,Acbel,Acbel E2-470 Plus-470W  ,470,,,
939000,Nguồn Acbel,,Acbel,Acbel E2-510 Plus-510W,510,,,
479000,Nguồn Acbel,,Acbel,Acbel HK350 -350W,350,,,
535000,Nguồn Acbel,,Acbel,Acbel HK400-400W ,400,,,
555000,Nguồn Acbel,,Acbel,Acbel HK400N,400,,,
790000,Nguồn Acbel,,Acbel,Acbel HK450-450W ,450,,,
0,Nguồn Acbel,,Acbel,Acbel iPower 85H - 400W PCA008,400,,,
1600000,Nguồn Acbel,,Acbel,Acbel iPower 90M 500W,500,,,
1850000,Nguồn Acbel,,Acbel,Acbel iPower 90M 600W,600,,,
2250000,Nguồn Acbel,,Acbel,Acbel iPower 90M 700W,700,,,
865000,Nguồn Acbel,,Acbel,Acbel iPower G450,450,,,
949000,Nguồn Acbel,,Acbel,Acbel iPower G500,500,,,
1139000,Nguồn Acbel,,Acbel,Acbel iPower G550,550,,,
1249000,Nguồn Acbel,,Acbel,Acbel iPower G600,600,,,
1339000,Nguồn Acbel,,Acbel,Acbel iPower G650,650,,,
1469000,Nguồn Acbel,,Acbel,Acbel iPower G700,700,,,
1559000,Nguồn Acbel,,Acbel,Acbel iPower G750,750,,,
0,Nguồn Acbel,,Acbel,Acbel ipower-430W PC7008,430,,,
0,Nguồn Acbel,,Acbel,Acbel Ipower-470W PC7011-C,470,,,
0,Nguồn Acbel,,Acbel,Acbel M88 - 1100W - PC8039,803,,,
0,Nguồn Acbel,,Acbel,Acbel R8II 600W PC9026,600,,,
0,Nguồn Acbel,,Acbel,Acbel R9 - 1100w - PC8055,805,,,
2500000,PSU - Nguồn máy tính,,FSP,FSP Aurum S-700,700,,,
0,PSU - Nguồn máy tính,,Seasonic,Hydance C400 HY-400CT 400W 80Plus Bronze,400,,,
0,PSU - Nguồn máy tính,,Seasonic,Hydance C500 HY-500CT 500w 80Plus Bronze,500,,,
449000,PSU - Nguồn máy tính,,SAMA,SAMA 430  - 300W,430,,,
890000,PSU - Nguồn máy tính,,SAMA,SAMA 630  - 500W,630,,,
690000,PSU - Nguồn máy tính,EPS-400-1,SAMA,"SAMA EPS-400-1 400W 80Plus Bronze, A.PFC",400,,,
890000,PSU - Nguồn máy tính,EPS-500-1,SAMA,"SAMA EPS-500-1 500W 80Plus Bronze, A.PFC",500,,,
4180000,PSU - Nguồn máy tính,Forza FTX-800-2,SAMA,"SAMA Forza FTX-800-2 800W 80Plus Titanium, A.PFC, Full Module",800,,,
1560000,PSU - Nguồn máy tính,HTX-550-B3,SAMA,"SAMA HTX-550-B3 550W 80Plus Gold, A.PFC",550,,,
2160000,PSU - Nguồn máy tính,HTX-650-B4,SAMA,"SAMA HTX-650-B4 650W 80Plus Gold, A.PFC, Full Module",650,,,
2340000,PSU - Nguồn máy tính,HTX-750-B4,SAMA,"SAMA HTX-750-B4 750W 80Plus Gold, A.PFC, Full Module",750,,,
2950000,PSU - Nguồn máy tính,,Seasonic,Seasonic G-750 SSR 750RM - 80Plus GOLD Module,750,,,
5666000,PSU - Nguồn máy tính,,Seasonic,Seasonic P-1050 (1050XP) 80Plus Platinum,1050,,,
6666000,PSU - Nguồn máy tính,,Seasonic,Seasonic P-1200 (1200XP) 80Plus Platinum,1200,,,
4690000,PSU - Nguồn máy tính,,Seasonic,Seasonic P-860XP2 Active PFC F3 - 80Plus Platinum Module,860,,,
1550000,PSU - Nguồn máy tính,,Seasonic,Seasonic S12II 520W Active PFC FDB fan F3 - 80Plus Bronze,520,,,
1750000,PSU - Nguồn máy tính,,Seasonic,Seasonic S12II 620W Active PFC FDB fan F3 - 80Plus Bronze,620,,,
0,PSU - Nguồn máy tính,,Seasonic,Seasonic SS-520GB Active PFC/ FDB fan F3 - 520w 80Plus Bronze,520,,,
1690000,PSU - Nguồn máy tính,,Seasonic,Seasonic SS-520GM2 Active PFC F3/ Evo - 520w 80Plus Bronze Module,520,,,
1590000,PSU - Nguồn máy tính,,Seasonic,Seasonic SS-620GB Active PFC/ FDB fan F3 - 620w 80Plus Bronze,620,,,
1950000,PSU - Nguồn máy tính,,Seasonic,Seasonic SS-620GM2 Active PFC F3/ Evo - 620w 80Plus Bronze Module,620,,,
3900000,PSU - Nguồn máy tính,,Seasonic,Seasonic SS-850KM3 Active PFC F3 - 850w 80Plus Gold Module,850,,,
4690000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-1050XM2 Active PFC - 80Plus GOLD,1050,,,
5790000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-1250XM2 Active PFC - 80Plus GOLD,1250,,,
2795000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-400FL Active PFC F3 - 80Plus GOLD No Fan,400,,,
3419000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-460FL Active PFC F3 - 80Plus GOLD No Fan,460,,,
2690000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-560KM Active PFC F3 - 80Plus GOLD Module,560,,,
3010000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-650KM3 Active PFC F3 - 80Plus GOLD Module,650,,,
3450000,PSU - Nguồn máy tính,,Seasonic,Seasonic X-750KM3 Active PFC F3 - 80Plus Gold Module,750,,,
4500000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster V1000,1000,,,
4850000,PSU - Nguồn máy tính,,Corsair,Corsair RM1000i 1000w 1000W Modular 80 PLUS Gold,1000,,,
1680000,PSU - Nguồn máy tính,,FSP,FSP Aurum 500W,500,,,
2070000,PSU - Nguồn máy tính,,FSP,FSP Aurum 600W,600,,,
2470000,PSU - Nguồn máy tính,,FSP,FSP Aurum 700W,700,,,
0,PSU - Nguồn máy tính,,FSP,FSP Aurum Pro 1000W,1000,,,
0,PSU - Nguồn máy tính,,FSP,FSP Aurum Pro 1200W,1200,,,
3770000,PSU - Nguồn máy tính,,FSP,FSP Aurum Pro 850W,850,,,
2289000,PSU - Nguồn máy tính,,Corsair,Corsair CX Series CX750M 80 Plus Bronze Modular,750,,,
555000,PSU - Nguồn máy tính,,Acbel,Acbel HK400N,400,,,
1600000,PSU - Nguồn máy tính,,Acbel,Acbel iPower 90M 500W,500,,,
1850000,PSU - Nguồn máy tính,,Acbel,Acbel iPower 90M 600W,600,,,
2250000,PSU - Nguồn máy tính,,Acbel,Acbel iPower 90M 700W,700,,,
949000,PSU - Nguồn máy tính,,Acbel,Acbel iPower G500,500,,,
1139000,PSU - Nguồn máy tính,,Acbel,Acbel iPower G550,550,,,
1249000,PSU - Nguồn máy tính,,Acbel,Acbel iPower G600,600,,,
1469000,PSU - Nguồn máy tính,,Acbel,Acbel iPower G700,700,,,
1559000,PSU - Nguồn máy tính,,Acbel,Acbel iPower G750,750,,,
1310000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 500W,500,,,
1340000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 500W Army Edition,500,,,
1470000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 600W,600,,,
1400000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 600W Army Edition,600,,,
2415000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 800W,800,,,
2445000,PSU - Nguồn máy tính,,Aerocool,Aerocool Strike-X 800W Army Edition,800,,,
950000,PSU - Nguồn máy tính,,Aerocool,Aerocool VX-500W,500,,,
1059000,PSU - Nguồn máy tính,,Aerocool,Aerocool VX-600W,600,,,
520000,PSU - Nguồn máy tính,,Antec,Antec BP300S,300,,,
560000,PSU - Nguồn máy tính,,Antec,Antec BP350S,350,,,
710000,PSU - Nguồn máy tính,,Antec,Antec BP400PX,400,,,
720000,PSU - Nguồn máy tính,,Antec,Antec BP450S,450,,,
2290000,PSU - Nguồn máy tính,,Antec,Antec EDGE 550W,550,,,
2690000,PSU - Nguồn máy tính,,Antec,Antec EDGE 650W,650,,,
2990000,PSU - Nguồn máy tính,,Antec,Antec EDGE 750W,750,,,
1869000,PSU - Nguồn máy tính,,Antec,Antec HCG 520M 80Plus Bronze,520,,,
2059000,PSU - Nguồn máy tính,,Antec,Antec HCG 620M 80Plus Bronze,620,,,
2449000,PSU - Nguồn máy tính,,Antec,Antec HCG 750M (750W) 80Plus Bronze,750,,,
2749000,PSU - Nguồn máy tính,,Antec,Antec HCG 850M (850W) 80Plus Bronze,850,,,
4950000,PSU - Nguồn máy tính,,Antec,Antec HCP-1000 Platinum,1000,,,
7349000,PSU - Nguồn máy tính,,Antec,Antec HCP-1300 Platinum,300,,,
1290000,PSU - Nguồn máy tính,,Antec,Antec Neo Eco 520C,520,,,
1549000,PSU - Nguồn máy tính,,Antec,Antec Neo Eco 620C,620,,,
1350000,PSU - Nguồn máy tính,,Antec,Antec Neo Eco II 550 - 550W.,550,,,
1550000,PSU - Nguồn máy tính,,Antec,Antec Neo Eco II 650 - 650W.,650,,,
2389000,PSU - Nguồn máy tính,,Antec,Antec TRUEPOWER TP-750C,750,,,
950000,PSU - Nguồn máy tính,,Antec,Antec VP500PC,500,,,
1640000,PSU - Nguồn máy tính,RS600-ACABB1,Coolermaster,Coolermaster B600 ver.2 80 Plus (RS600-ACABB1),600,,,
1980000,PSU - Nguồn máy tính,RS700-ACABB1,Coolermaster,Coolermaster B700 ver.2 80 Plus (RS700-ACABB1),700,,,
510000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Elite 350W (RS-350-PSAR-i3),350,,,
920000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Extreme II 475W  (RS-475-PCAR),475,,,
1120000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Extreme II 525W (RS-525-PCAR),525,,,
0,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Extreme II 725W (RS-725-PCAR),725,,,
1360000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Extreme Plus  550W 24pins (RS-550-PCAR-E3),550,,,
1680000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster Extreme Plus 650W 24pins (RS-650-PCAR-E3),650,,,
1740000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster G550M 80 Plus Bronze (RS550-AMAAB1-EU),550,,,
1940000,PSU - Nguồn máy tính,,Coolermaster,Coolermaster G650M 80 Plus Bronze (RS650-AMAAB1-EU),650,,,
