Price,Catergory,Brand,Name,Type,Code,GB,Watt
27500000,VGA,Asus,Nvidia's GeForce GTX TITAN X,NVIDIA,TITAN X,12,800
28000000,VGA,Zotac,ZOTAC GTX TITAN X Arc TicStorm,NVIDIA,TITAN X,12,800
28000000,VGA,Zotac,ZOTAC GTX TITAN X Arc TicStorm,NVIDIA,TITAN X,12,800
28500000,VGA,Gigabyte,Gigabyte GV-N TITANXD5-12GD-B,NVIDIA,TITAN X,12,800
28990000,VGA,Gigabyte,Gigabyte GTX TITAN X XTREME (XTREME GAMING Graphics Card),NVIDIA,TITAN X,12,800
28990000,VGA,Gigabyte,Gigabyte GTX TITAN X XTREME (XTREME GAMING Graphics Card),NVIDIA,Titan X,12,800
36590000,VGA,Gigabyte,Gigabyte GV-R9 295X2-8GD-B,AMD,R9 295X,8,800
36590000,VGA,Gigabyte,Gigabyte GV-R9 295X2-8GD-B,AMD,R9 295X,8,800
39990000,VGA,Gigabyte,Gigabyte GV-N TITANZD5-12GD-B,NVIDIA,TITAN Z,12,800
49590000,VGA,Quadro,NVIDIA Quadro K5000 4GB GDDR5 256Bit,Quadro,K5000,4,600
49590000,VGA,Quadro,nVidia Quadro M5000 8GB GDDR5 256bit,Quadro,M5000,8,600
57690000,VGA,Quadro,NVIDIA Quadro K5200 8GB GDDR5 256Bit,Quadro,K5200,8,400
85299000,VGA,Asus,ASUS GTX TITANZ-12GD5 (768bits),NVIDIA,TITAN Z,12,800
85299000,VGA,Asus,ASUS GTX TITANZ-12GD5 (768bits),NVIDIA,TITAN Z,12,800
107390000,VGA,Quadro,NVIDIA Quadro K6000 12GB GDDR5 384Bit,Quadro,K6000,12,600
128590000,VGA,Quadro,NVIDIA Quadro M6000 12GB GDDR5 384Bit,Quadro,M6000,12,600
129490000,VGA,Quadro,TESLA K20,Tesla,K20,5,400
