Price,Catergory,Brand,Name,1,2,3,4
2900000,Case,Segotep,Segotep Eagle Desert 2,,,,
2200000,Case,Segotep,Segotep EDI,,,,
1290000,Case,Segotep,Segotep EOS Aluminum Tempered Glass,,,,
790000,Case,Segotep,Segotep GANK X black,,,,
790000,Case,Segotep,Segotep GANK X white,,,,
330000,Case,Segotep,Segotep PS-113R,,,,
330000,Case,Segotep,Segotep S2,,,,
590000,Case,Segotep,Segotep SG-CL,,,,
620000,Case,Segotep,Segotep SG-FY,,,,
2200000,Case,Segotep,Segotep SG-K7,,,,
390000,Case,Segotep,Segotep Small Gun,,,,
720000,Case,Segotep,Segotep Snow Leopard,,,,
750000,Case,Segotep,Segotep Sprint,,,,
408000,Case,Segotep,Segotep ST Mini3,,,,
2400000,Case,Segotep,Segotep T1W,,,,
2650000,Case,Segotep,Segotep T2,,,,
1390000,Case,Segotep,Segotep T50,,,,
690000,Case,Segotep,Segotep Warship EVA Blade 2 - Black,,,,
690000,Case,Segotep,Segotep Warship EVA Blade 2 - RED,,,,
690000,Case,Segotep,Segotep Warship EVA Blade 2 - White,,,,
1050000,Case,Segotep,Segotep Warship EVO,,,,
1100000,Case,Thermaltake,Thermaltake Core V1 - Best P/P HTPC,,,,
2250000,Case,Thermaltake,Thermaltake View 27 black,,,,
1150000,Case,Vitra,Vitra SPAKTA T50 E-ATX,,,,
1660000,Case,Antec,Antec - ISK600,,,,
1300000,Case,Antec,ANTEC ONE Hundred,,,,
0,Case,Antec,ANTEC Skeleton Black ATX Tower Computer Case,,,,
1145000,Case,Antec,ANTEC X1-T,,,,
1350000,Case,Aerocool,Aerocool DS 200 Black / Red / Green ( DS200) - WaterCooling custom Support,,,,
699000,Case,Aerocool,Aerocool V3X Advance,,,,
1990000,Case,Coolermaster,Coolermaster CM Storm Enforcer (SGC-1000-KWN1),,,,
1970000,Case,Coolermaster,Coolermaster HAF 912 Combat Black Suite USB3 (RC-912-KWN2),,,,
4190000,Case,Coolermaster,Coolermaster HAF X (RC-942-KKN1),,,,
4490000,Case,Coolermaster,Coolermaster HAF X Nvidia edition (NV-942),,,,
2950000,Case,Coolermaster,Coolermaster HAF XM USB3 (RC-922XM-KWN2),,,,
790000,Case,Coolermaster,Coolermaster K280 (RC-K280-KKN1),,,,
929000,Case,Coolermaster,Coolermaster K350,,,,
