Price,Catergory,Brand,Name,Chipset,Socket,DDR type,M2
3035000,Mainboard Intel,MSI,MSI B250 GAMING M3,B250,1151,DDR4,
1935000,Mainboard Intel,MSI,MSI B75A-G43,B75,1155,DDR3,
3100000,Mainboard Intel,MSI,MSI B75A-G43 GAMING,B75,1155,DDR3,
3790000,Mainboard Intel,MSI,MSI B75MA-E33,B75,1155,DDR3,
0,Mainboard Intel,MSI,MSI B85-G41 PC MATE (ATX Heatsink),B85,1150,DDR3,
8759000,Mainboard Intel,MSI,MSI B85I Gaming,B85,1150,DDR3,
7259000,Mainboard Intel,MSI,MSI B85M GAMING,B85,1150,DDR3,
6550000,Mainboard Intel,MSI,MSI B85M NIGHT ELF,B85,1150,DDR3,
8290000,Mainboard Intel,MSI,MSI B85M PRO-VD (Pro Series),B85,1150,DDR3,
4590000,Mainboard Intel,MSI,MSI B85M-E45,B85,1150,DDR3,
1950000,Mainboard Intel,MSI,MSI B85M-ECO,B85,1150,DDR3,
5200000,Mainboard Intel,MSI,MSI B85M-P33 V2,B85,1150,DDR3,
5999000,Mainboard Intel,MSI,MSI H110i PRO,H110,1151,DDR4,
7099000,Mainboard Intel,MSI,MSI H110M GAMING,H110,1151,DDR4,
0,Mainboard Intel,MSI,MSI H110M PRO-VD (Pro Series),H110,1151,DDR4,
5350000,Mainboard Intel,MSI,MSI H110M PRO-VH (Pro Series),H110,1151,DDR4,
3200000,Mainboard Intel,MSI,MSI H110M PRO-VHL (Pro Series),H110,1151,DDR4,
3120000,Mainboard Intel,MSI,MSI H110M ProVD Plus,H110,1151,DDR4,
2990000,Mainboard Intel,MSI,MSI H170 GAMING M3,H170,1151,DDR4,
5390000,Mainboard Intel,MSI,MSI H170A GAMING PRO,H170,1151,DDR4,
3090000,Mainboard Intel,MSI,MSI H270 GAMING M3,H270,1151,DDR4,
2350000,Mainboard Intel,MSI,MSI H61M-E22(G3),H61,1155,DDR3,
3165000,Mainboard Intel,MSI,MSI H61M-P20 (G3),H61,1155,DDR3,
2190000,Mainboard Intel,MSI,MSI H61M-P31/W8,H61,1155,DDR3,
2350000,Mainboard Intel,MSI,MSI H81I,H81,1150,DDR3,
2280000,Mainboard Intel,MSI,MSI H81M ECO,H81,1150,DDR3,
2350000,Mainboard Intel,MSI,MSI H81M Pro-VD,H81,1150,DDR3,
2599000,Mainboard Intel,MSI,MSI H81M Pro-VH BootRom,H81,1150,DDR3,
2580000,Mainboard Intel,MSI,MSI H81M-E33,H81,1150,DDR3,
1850000,Mainboard Intel,MSI,MSI H81M-E34,H81,1150,DDR3,
0,Mainboard Intel,MSI,MSI H81M-E35 V2,H81,1150,DDR3,
0,Mainboard Intel,MSI,MSI H81M-P33,H81,1150,DDR3,
0,Mainboard Intel,MSI,MSI H97 GAMING 3,H97,1150,DDR3,
0,Mainboard Intel,MSI,MSI H97 GUARD-PRO,H97,1150,DDR3,
1890000,Mainboard Intel,MSI,MSI H97M ECO,H97,1150,DDR3,
